cycle,converged,neg2ll,gamlam,nspp,ke0.mean,ke0.median,ke0.sd,kcp.mean,kcp.median,kcp.sd,kpc.mean,kpc.median,kpc.sd,v0.mean,v0.median,v0.sd
1,false,4870.150824820033,2,11,0.012862816723910243,0.007974400520324706,0.0001186048265373066,1.2190307703885166,1.2465219497680664,0.3845208701216424,1.917341243137013,1.5249043703079224,1.4559849180435562,0.43826793974096123,0.41906361579895024,0.06772780097857661
2,false,4629.405111222236,2.1,17,0.009773646242478316,0.007974400520324706,0.000058931432724976256,1.2066370234769934,1.1273765563964844,0.4076125397513607,1.5707339749616736,1.3464856147766113,1.2260515179352733,0.36143367893555584,0.3546977400779724,0.025975584192831642
3,false,4494.063810888935,2.1,17,0.009772781652562757,0.005608773231506348,0.00006936938550795887,1.2543766246122472,1.2465219497680664,0.4282114061172951,1.4866694422329174,1.2854995727539063,1.217640557554619,0.3548354852900785,0.31434944868087766,0.0279041262897967
4,false,4426.96608002302,2,23,0.009962552816971488,0.005608773231506348,0.00005710284521478255,1.2884079725846,1.2465219497680664,0.48861388460210103,1.500100674836532,1.2854995727539063,1.1276614080449225,0.3166553858052129,0.23809584379196166,0.024830918489608365
5,false,4387.590630828544,1.8181818181818181,21,0.009950675737290157,0.005608773231506348,0.000057238352780589026,1.136817523411342,1.2465219497680664,0.3872890941427397,1.5935653448104858,1.244872808456421,1.8299726709383208,0.31734517994381145,0.23809584379196166,0.025450940673449256
6,false,4376.179208339437,1.8181818181818181,24,0.009859593947728474,0.007965962886810302,0.000051269766687904915,1.2272475759188335,1.2465219497680664,0.5174031167668885,1.7043143461147945,1.244872808456421,2.36891960695163,0.32469634453455604,0.23809584379196166,0.02660942483837361
7,false,4375.119056584465,1.652892561983471,25,0.010486362266540528,0.010323152542114258,0.00005202099906940612,1.2933743934631345,1.2465219497680664,0.7628798795643541,1.5923677921295165,1.244872808456421,2.3224538376529957,0.30434921865463255,0.23809584379196166,0.022448158954803694
8,false,4374.95731112875,1.652892561983471,25,0.010486362266540528,0.010323152542114258,0.00005202099906940612,1.2933743934631345,1.2465219497680664,0.7628798795643541,1.5523677921295167,1.244872808456421,2.1964765602946223,0.30434921865463255,0.23809584379196166,0.022448158954803694
9,false,4374.945001667212,1.652892561983471,26,0.010298762688269986,0.010323152542114258,0.00005085519275257931,1.2915723763979396,1.2465219497680664,0.7324491132848645,1.5920496124487657,1.244872808456421,2.149558316342916,0.3018010119291452,0.23809584379196166,0.02171905989202285
10,true,4374.836457088133,1.7355371900826446,26,0.010298762688269986,0.010323152542114258,0.00005085519275257931,1.2915723763979396,1.2465219497680664,0.7324491132848645,1.5920496124487657,1.244872808456421,2.149558316342916,0.3018010119291452,0.23809584379196166,0.02171905989202285
