cycle,converged,neg2ll,gamlam,nspp,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,vint.mean,vint.median,vint.sd,vsl.mean,vsl.median,vsl.sd
1,false,1245.0803226838923,4.545454545454545,1,0.13995112180709837,0.13995112180709837,NaN,1.2083637714385986,1.2083637714385986,NaN,10.56943416595459,10.56943416595459,NaN,1.6865020990371704,1.6865020990371704,NaN
2,false,1097.4287503353682,3.7878787878787876,1,0.13995112180709837,0.13995112180709837,NaN,1.2083637714385986,1.2083637714385986,NaN,10.56943416595459,10.56943416595459,NaN,0.6865020990371704,0.6865020990371704,NaN
3,false,998.524628477171,2.705627705627706,3,0.11995112180709837,0.13995112180709837,0.0012,1.2083637714385986,1.2083637714385986,0,13.236100832621256,10.56943416595459,21.333333333333332,0.6865020990371704,0.6865020990371704,0
4,false,907.0100689179017,1.503126503126503,4,0.09495112180709839,0.07995112180709837,0.0008999999999999999,1.1333637714385987,1.2083637714385986,0.022500000000000006,14.56943416595459,14.56943416595459,21.333333333333332,0.9365020990371704,0.6865020990371704,0.25
5,false,900.8801643443833,1.503126503126503,6,0.0899511218070984,0.07995112180709837,0.0005999999999999997,0.9583637714385986,0.9083637714385986,0.05100000000000001,9.236100832621256,10.56943416595459,36.266666666666666,1.0198354323705037,0.6865020990371704,0.26666666666666666
6,false,900.206333850327,1.503126503126503,9,0.09328445514043172,0.07995112180709837,0.0007000000000000001,0.7750304381052653,0.6083637714385985,0.09250000000000003,10.56943416595459,10.56943416595459,64,0.9087243212593926,0.6865020990371704,0.19444444444444445
7,false,894.9530596792728,1.0736617879475023,11,0.0908602127161893,0.07995112180709837,0.0005890909090909092,0.5810910441658712,0.6083637714385985,0.13418181818181824,10.56943416595459,10.56943416595459,64,0.9592293717644431,0.6865020990371704,0.21818181818181817
8,false,893.6965961414654,1.0736617879475023,18,0.09995112180709835,0.07995112180709837,0.0008470588235294119,0.47503043810526513,0.4583637714385985,0.11882352941176476,12.791656388176811,10.56943416595459,81.35947712418299,1.1309465434816148,0.6865020990371704,0.6143790849673202
9,false,893.6616009990148,1.0736617879475023,11,0.10176930362528021,0.07995112180709837,0.0009163636363636364,0.47200013507496225,0.3083637714385985,0.2585454545454546,12.023979620500045,10.56943416595459,87.27272727272728,1.2319566444917158,0.6865020990371704,1.0727272727272728
10,true,891.8000505520135,1.0736617879475023,13,0.09841266026863682,0.07995112180709837,0.001430769230769231,0.4468253099001369,0.3083637714385985,0.23423076923076927,12.415588012108437,10.56943416595459,76.30769230769232,1.3018867144217858,0.6865020990371704,1.2564102564102566
