ID xsim ysim
1 0 -0.090212
1 0.25 2.2892
1 0.57 4.2279
1 1.12 5.4979
1 2.02 7.9173
1 3.82 5.3943
1 5.1 4.3926
1 7.03 5.0335
1 9.05 3.3301
1 12.12 3.3686
1 24.37 0.60324
2 0 0.20597
2 0.27 2.3492
2 0.52 4.4722
2 1 5.7317
2 1.92 8.6685
2 3.5 9.6393
2 5.02 7.9179
2 7.03 6.7075
2 9 5.4641
2 12 5.0094
2 24.3 2.0761
3 0 -0.27113
3 0.27 3.704
3 0.58 5.2631
3 1.02 6.8929
3 2.02 9.0689
3 3.62 7.3956
3 5.08 6.3596
3 7.07 5.1549
3 9 4.5859
3 12.15 4.3748
3 24.17 1.395
4 0 0.32604
4 0.35 2.2401
4 0.6 2.2498
4 1.07 4.4099
4 2.13 6.3518
4 3.5 4.6799
4 5.02 5.3565
4 7.02 4.8297
4 9.02 4.5722
4 11.98 3.2824
4 24.65 0.71306
5 0 -0.45842
5 0.3 8.6378
5 0.52 8.288
5 1 10.4
5 2.02 11.89
5 3.5 11.104
5 5.02 8.708
5 7.02 7.3221
5 9.1 6.5354
5 12 4.4092
5 24.35 1.7054
6 0 0.41366
6 0.27 3.902
6 0.58 5.7406
6 1.15 7.8531
6 2.03 8.1628
6 3.57 7.2029
6 5 9.5649
6 7 6.4906
6 9.22 4.9213
6 12.1 3.9767
6 23.85 1.6225
7 0 0.25797
7 0.25 2.3004
7 0.5 3.486
7 1.02 7.0397
7 2.02 9.3132
7 3.48 13.48
7 5 11.576
7 6.98 9.342
7 9 8.5986
7 12.05 7.885
7 24.22 3.2841
8 0 0.25266
8 0.25 2.1156
8 0.52 5.375
8 0.98 7.6535
8 2.02 7.9743
8 3.53 9.047
8 5.05 8.0522
8 7.15 6.6451
8 9.07 5.4444
8 12.1 3.8254
8 24.12 1.2641
9 0 -0.12305
9 0.3 1.4837
9 0.63 1.4201
9 1.05 2.5872
9 2.02 3.6204
9 3.53 5.5196
9 5.02 5.6943
9 7.17 4.7141
9 8.8 3.7958
9 11.6 2.3236
9 24.43 1.1231
10 0 0.3981
10 0.37 4.5597
10 0.77 8.5238
10 1.02 7.5438
10 2.05 8.9377
10 3.55 6.4577
10 5.05 6.2563
10 7.08 3.9392
10 9.38 5.0477
10 12.1 3.2735
10 23.7 0.77459
11 0 -0.21013
11 0.25 0.86971
11 0.5 1.7492
11 0.98 1.8728
11 1.98 3.9332
11 3.6 4.6366
11 5.02 5.2377
11 7.03 4.2787
11 9.03 3.8145
11 12.12 2.495
11 24.08 0.81731
12 0 0.27673
12 0.25 1.8429
12 0.5 3.2678
12 1 4.9486
12 2 6.6848
12 3.52 8.8251
12 5.07 9.0357
12 7.07 8.5251
12 9.03 5.1666
12 12.05 4.3875
12 24.15 1.8276
1 0 0.22723
1 0.25 2.3596
1 0.57 4.7646
1 1.12 6.8544
1 2.02 9.0779
1 3.82 7.7228
1 5.1 7.1045
1 7.03 6.2632
1 9.05 5.0753
1 12.12 5.1322
1 24.37 1.5614
2 0 0.1682
2 0.27 4.2252
2 0.52 6.618
2 1 6.7686
2 1.92 8.1386
2 3.5 6.3143
2 5.02 4.8748
2 7.03 5.2135
2 9 3.2104
2 12 3.3912
2 24.3 1.2881
3 0 -0.38758
3 0.27 7.418
3 0.58 11.182
3 1.02 10.805
3 2.02 8.1922
3 3.62 6.5
3 5.08 7.6628
3 7.07 5.5664
3 9 4.8043
3 12.15 4.3734
3 24.17 1.8327
4 0 -0.34733
4 0.35 1.8511
4 0.6 3.3384
4 1.07 5.4049
4 2.13 8.4825
4 3.5 6.9227
4 5.02 5.425
4 7.02 5.7826
4 9.02 3.683
4 11.98 1.983
4 24.65 0.47425
5 0 -0.18345
5 0.3 3.9949
5 0.52 6.5926
5 1 9.6234
5 2.02 11.39
5 3.5 11.719
5 5.02 9.0818
5 7.02 8.4018
5 9.1 6.3881
5 12 6.2464
5 24.35 2.9592
6 0 -0.14065
6 0.27 4.6309
6 0.58 5.6196
6 1.15 6.6783
6 2.03 6.6102
6 3.57 5.3179
6 5 5.0189
6 7 3.9463
6 9.22 2.2018
6 12.1 1.9726
6 23.85 0.71193
7 0 -0.1827
7 0.25 1.6305
7 0.5 3.2593
7 1.02 6.0289
7 2.02 7.6835
7 3.48 12.165
7 5 7.616
7 6.98 8.078
7 9 7.9198
7 12.05 5.9633
7 24.22 2.2822
8 0 0.22812
8 0.25 6.9227
8 0.52 8.1512
8 0.98 8.038
8 2.02 8.0569
8 3.53 5.697
8 5.05 4.2222
8 7.15 4.9254
8 9.07 4.369
8 12.1 3.914
8 24.12 0.13166
9 0 0.32847
9 0.3 1.0154
9 0.63 2.2744
9 1.05 2.361
9 2.02 3.7643
9 3.53 5.4486
9 5.02 3.9894
9 7.17 3.3763
9 8.8 3.7117
9 11.6 2.9642
