"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
0,46.4,4.18,-0.276,0.00876,"M","0-36 mos",5,"length x age"
9,68,1.33,-0.0397,0.000958,"M","0-36 mos",5,"length x age"
24,82.3,0.787,0.00339,-0.000592,"M","0-36 mos",5,"length x age"
0,45.4,4.14,-0.293,0.00993,"F","0-36 mos",5,"length x age"
9,66.1,1.28,-0.0247,0.000422,"F","0-36 mos",5,"length x age"
24,81.3,0.829,-0.00566,-0.000233,"F","0-36 mos",5,"length x age"
0,2.54,0.606,0.0155,-0.00251,"M","0-36 mos",5,"wt  x age"
6,6.2,0.521,-0.0297,0.000817,"M","0-36 mos",5,"wt  x age"
18,9.59,0.161,-0.000292,-2.35e-05,"M","0-36 mos",5,"wt  x age"
0,2.36,0.604,0.00544,-0.0018,"F","0-36 mos",5,"wt  x age"
6,5.79,0.475,-0.027,0.000763,"F","0-36 mos",5,"wt  x age"
18,8.92,0.157,0.000477,-5e-05,"F","0-36 mos",5,"wt  x age"
0,47.5,4.12,-0.267,0.00835,"M","0-36 mos",10,"length x age"
9,69.1,1.36,-0.0411,0.000977,"M","0-36 mos",10,"length x age"
24,83.5,0.784,0.00291,-0.000557,"M","0-36 mos",10,"length x age"
0,46.5,3.99,-0.273,0.00921,"F","0-36 mos",10,"length x age"
9,67,1.32,-0.024,0.000322,"F","0-36 mos",10,"length x age"
24,82.5,0.816,-0.00946,3.76e-05,"F","0-36 mos",10,"length x age"
0,2.78,0.646,0.0147,-0.00265,"M","0-36 mos",10,"wt  x age"
6,6.61,0.536,-0.033,0.000945,"M","0-36 mos",10,"wt  x age"
18,9.92,0.151,0.000981,-4.63e-05,"M","0-36 mos",10,"wt  x age"
0,2.58,0.64,0.00132,-0.0016,"F","0-36 mos",10,"wt  x age"
6,6.12,0.483,-0.0276,0.000781,"F","0-36 mos",10,"wt  x age"
18,9.3,0.159,0.000563,-4.71e-05,"F","0-36 mos",10,"wt  x age"
0,49,4.29,-0.299,0.00995,"M","0-36 mos",25,"length x age"
9,70.6,1.33,-0.0305,0.00057,"M","0-36 mos",25,"length x age"
24,85.6,0.795,-0.00488,-9.62e-05,"M","0-36 mos",25,"length x age"
0,48.2,3.89,-0.257,0.00855,"F","0-36 mos",25,"length x age"
9,68.7,1.34,-0.0267,0.000444,"F","0-36 mos",25,"length x age"
24,84.2,0.835,-0.00668,-0.000107,"F","0-36 mos",25,"length x age"
0,3,0.836,-0.0187,-0.000688,"M","0-36 mos",25,"wt  x age"
6,7.2,0.538,-0.0311,0.000863,"M","0-36 mos",25,"wt  x age"
18,10.7,0.165,-5.54e-06,-8.77e-06,"M","0-36 mos",25,"wt  x age"
0,2.93,0.664,0.000389,-0.00153,"F","0-36 mos",25,"wt  x age"
6,6.6,0.504,-0.0271,0.000753,"F","0-36 mos",25,"wt  x age"
18,10,0.179,3.54e-06,-4.53e-05,"F","0-36 mos",25,"wt  x age"
0,50.5,4.38,-0.312,0.0106,"M","0-36 mos",50,"length x age"
9,72.3,1.33,-0.0272,0.00045,"M","0-36 mos",50,"length x age"
24,87.6,0.815,-0.00699,5.93e-05,"M","0-36 mos",50,"length x age"
