Objects,Fields,Comments
"cov (class: PM_cov, R6)",$clone,Method: Create copy of PM_cov object
,$data,"Data frame, class: PM_cov_data, with columns:"
,,id: Subject identification
,,time: Time for each covariate entry
,,"covariates...Covariate values for each subject at each time, extracted from the raw data file"
,,"parameters...Mean, median, or mode of Bayesian posterior distribution for each random parameter in the model.  Mode summaries are available for NPAG output only, and the default is median.  Values are recycled for each row within a given subject, with the number of rows driven by the number of covariate entries"
,,icen: Median (default) or mean of the covariates and parameter value distributions.
,$initialize,"Method: Called by PM_cov\$new(), creates new PM_cov object, happens automatically at end of run, generally not a user function"
,$plot,Method: Plot the PM_cov object with plot.PMcov()
,$print,Method: display the PM_cov object as a data frame
,$summary,"Method: summarize the PM_cov object with summary.PMcov(), same function as for Legacy"
"cycle (class: PM_cycle, R6)",$clone,Method: Create copy of PM_cycle object
,$data,"List with all data fields, class: PM_cycle_data"
,$gamlam,A matrix of cycle number and gamma or lambda at each cycle (see item #16 under NPAG Runs below for a discussion of gamma and lambda)
,$initialize,"Method: Called by PM_cycle\$new(), creates new PM_cycle object, happens automatically at end of run, generally not a user function"
,$mean,"A matrix of cycle number and the mean of each random parameter at each cycle, normalized to initial mean"
,$median,"A matrix of cycle number and the median of each random parameter at each cycle, normalized to initial standard deviation"
,$names,Vector of names of the random parameters
,$objective,"A matrix of cycle number and -2*Log-likelihood (-2*LL), Akaike Information Criterion (AIC), and Bayesian (Schwartz) Information Criterion (BIC) at each cycle"
,$plot,Method: Plot the PM_cycle object with plot.PMcycle()
,$sd,"A matrix of cycle number and the standard deviation of each random parameter at each cycle, normalized to initial standard deviation"
"data (class: PM_data, R6)",See Pmetrics Input Files.,Your original raw data file.
"final (class: PM_final, R6)",$ab,"Matrix of boundaries for random parameter values.  For NPAG, this is specified by the user prior to the run; for IT2B, it is calculated as a user specified multiple of the SD for the parameter value distribution"
,$clone,Method: Create copy of PM_final object
,$data,"Data frame with all data fields, class: PM_final_data"
,$gridpts,(NPAG only) The initial number of support points
,$initialize,"Method: Called by PM_fiinal\$new(), creates new PM_final object, happens automatically at end of run, generally not a user function"
,$nsub,Number of subjects
,$plot,Method: Plot the PM_final object with plot.PM_final()
,$popCor,The final cycle correlation matrix for each random parameter distribution
,$popCov,The final cycle covariance matrix for each random parameter distribution
,$popCV,The final cycle coefficient of variation for each random parameter distribution
,$popMean,The final cycle mean for each random parameter distribution
,$popMedian,The final cycle median for each random parameter distribution
,$popPoints,(NPAG only) Data frame of the final cycle joint population density of grid points with column names equal to the name of each random parameter plus \$prob for the associated probability of that point 
,$popRanFix,The final cycle values for all fixed but random parameters
,$popSD,The final cycle standard deviation for each random parameter distribution
,$popVar,The final cycle variance for each random parameter distribution
,$postCor,An array of correlation matrices for posterior parameter values for each subject
,$postCov,An array of covariance matrices for posterior parameter values for each subject
,$postMean,A matrix of means of posterior distributions for each subject and parameter
,$postPoints,"(NPAG only) Data frame of the Bayesian posterior parameter points for each of the first 100 subjects, with the following columns:"
,,id: subject ID
,,point: point number for that subject
,,parameters: parameters in the model
,,prob: probability of each point in the posterior for each patient
,$postSD,A matrix of SDs of posterior distributions for each subject and parameter
,$postVar,A matrix of variances of posterior distributions for each subject and parameter
,$shrinkage,Shrinkage values for each random population parameter
,$summary,"Method: summarize the PM_final object with summary.PMfinal(), same function as for Legacy"
"op (class: PM_op, R6)",$auc,Method: makeAUC() to calculate area under time concentration curve
,$block,"Dosing block, usually 1 unless data file contains EVID=4 dose reset events, in which case each such reset within a given ID will increment the dosing block by 1 for that ID"
,$clone,Method: Create copy of PM_op object
,$d,Difference between pred and obs
,$data,"Data frame with all data fields, class: PM_op_data"
,$ds,Squared difference between pred and obs
,$icen,Median (default) or mean of the parameter distributions used to calculate the predicted values.
,$id,Subject identification
,$initialize,"Method: Called by PM_op\$new(), creates new PM_op object, happens automatically at end of run, generally not a user function"
,$obs,Observation
,$obsSD,Calculated standard deviation (error) of the observation based on the assay error polynomial
,$outeq,Output equation for each observation
,$cens,"If any observation is censored (bloq, aloq) or none."
,$plot,Method: Plot the PM_op object with plot.PM_op()
,$pred,Predicted value
,$pred.type,"Type of prediction, i.e. based on the population parameter values or Bayesian posterior parameter values"
,$summary,"Method: summarize the PM_op object with summary.PMop(), same function as for Legacy"
,$time,Observation time in relative decimal hours
,$wd,"\$d, weighted by the \$obsSD"
